Title,Format,Developer,Publisher,Issue,Score
Ninja Gaiden,Xbox,Team Ninja,Tecmo,135,9
The Legend of Zelda: Four Swords Adventures,GameCube,Capcom (Production Studio 2),Nintendo,136,9
Gradius V,PS2,Treasure,Konami,140,9
Burnout 3: Takedown,"PS2, Xbox",Criterion Games,Electronic Arts,141,9
Half-Life 2,PC,Valve,Valve,143,10
Rome: Total War,PC,Creative Assembly,Activision,143,9
Pro Evolution Soccer 4,PS2,Konami,Konami,143,9
Halo 2,Xbox,Bungie,Microsoft,144,9
Grand Theft Auto: San Andreas,"PS2, Xbox, PC",Rockstar North,Rockstar Games,144,9
Oddworld: Stranger’s Wrath,Xbox,Oddworld Inhabitants,Electronic Arts,146,9
Resident Evil 4,"PS2, GameCube, PC",Capcom,Capcom,147,9
Unreal Championship 2: The Liandri Conflict,Xbox,Epic Games,Midway,149,9
Battlefield 2,PC,DICE,Electronic Arts,152,9
World of Warcraft,"PC, Mac",Blizzard Entertainment,Vivendi Universal,153,9
Project Gotham Racing 3,360,Bizarre Creations,Microsoft,157,9
Ultimate Ghosts ‘n’ Goblins,PSP,Capcom,Capcom,166,9
GTR 2,PC,Simbin,Atari,167,9
Company of Heroes,PC,Relic,THQ,168,9
Okami,"PS2, Wii",Clover Studio,Capcom,169,9
The Legend of Zelda: Twilight Princess,"GameCube, Wii",Nintendo,Nintendo,170,9
Final Fantasy XII,PS2,Square Enix,Square Enix,170,9
Forza Motorsport 2,360,Turn 10,Microsoft,177,9
Resident Evil 4: Wii Edition,Wii,Capcom,Capcom,178,9
The Legend of Zelda: Phantom Hourglass,DS,Nintendo,Nintendo,179,9
Halo 3,360,Bungie,Microsoft,181,10
Final Fantasy Tactics: The War of the Lions,PSP,Square Enix,Square Enix,181,9
Project Gotham Racing 4,360,Bizarre Creations,Microsoft,181,9
The Orange Box,"360, PC, PS3",Valve,EA,182,10
Super Mario Galaxy,Wii,Nintendo,Nintendo,183,10
Crysis,PC,Crytek,EA,183,9
Call of Duty 4: Modern Warfare,"360, PS3, PC",Infinity Ward,Activision,183,9
Rock Band,"360, PS3",Harmonix,MTV,184,9
Burnout Paradise,"360, PS3",Criterion Games,EA,185,9
No More Heroes,Wii,Grasshopper Manufacture,Rising Star Games,185,9
Super Smash Bros. Brawl,Wii,Sora / Game Arts,Nintendo,187,9
Bangai-O Spirits,DS,ESP,Treasure,189,9
Grand Theft Auto IV,"360, PC, PS3",Rockstar North,Rockstar Games,189,10
GRID,"360, PS3, PC",Codemasters Racing Studio,Codemasters,190,9
Braid,"360, PC",Number None Inc,Microsoft,192,9
Street Fighter IV,Arcade,Capcom,Capcom,193,9
Geometry Wars: Retro Evolved 2,360,Bizarre Creations,Activision,193,9
LittleBigPlanet,PS3,Media Molecule,SCE,195,10
Fable II,360,Lionhead,Microsoft Game Studios,195,9
Rock Band 2,"360, PS3",Harmonix,EA,195,9
Left 4 Dead,"360, PC",Valve,Valve,196,9
Gears of War 2,360,Epic Games,Microsoft,196,9
Persona 4,PS2,Atlus,Atlus / Square Enix,198,9
Empire: Total War,PC,The Creative Assembly,Sega,200,9
Grand Theft Auto: Chinatown Wars,DS,Rockstar Leeds,Rockstar Games,201,9
Little King’s Story,Wii,Town Factory / Cing,Rising Star,201,9
Plants vs. Zombies,PC,Popcap Games,Popcap Games,201,9
Space Invaders Extreme 2,DS,Taito,Square Enix,202,9
Battlefield 1943: Pacific,"360, PS3, PC",DICE,EA,204,9
Rolando 2: Quest for the Golden Orchid,iOS,Handcircus,NGMoco,205,9
FIFA 10,"360, PS3",EA Canada,EA,207,9
Demon’s Souls,PS3,From Software,Atlus USA,207,9
Halo 3: ODST,360,Bungie,Microsoft,207,9
Uncharted 2: Among Thieves,PS3,Naughty Dog,SCEE,208,9
Grand Theft Auto: Episodes from Liberty City,360,Rockstar North,Rockstar,208,9
Forza Motorsport 3,360,Turn 10,Microsoft Game Studios,208,9
Mario & Luigi: Bowser’s Inside Story,DS,Alphadream Corporation,Nintendo,208,9
Might & Magic: Clash of Heroes,DS,Capybara Games,Ubisoft,208,9
Bayonetta,"360, PS3",Platinum Games,Sega,209,10
Call of Duty: Modern Warfare 2,"360, PC, PS3",Infinity Ward,Activision,209,9
Left 4 Dead 2,"360, PC",Valve,EA,209,9
Mass Effect 2,"360, PC, PS3",Bioware,EA,212,9
Super Street Fighter 4,"360, PS3",Capcom,Capcom,214,9
Super Mario Galaxy 2,Wii,Nintendo,Nintendo,215,10
Red Dead Redemption,"360, PS3",Rockstar San Diego,Rockstar Games,216,9
Metal Gear Solid: Peace Walker,PSP,Kojima Productions,Konami,216,9
Dragon Quest IX,DS,Square Enix,Square Enix,217,9
Limbo,360,Playdead,Microsoft Game Studios,218,9
Civilization V,PC,Firaxis,2K,220,9
Rock Band 3,"360, PS, Wii, DS",Harmonix,MTV Games,222,10
Need for Speed: Hot Pursuit,"360, PC, PS3, Wii",Criterion,EA,222,9
Littlebigplanet 2,PS3,Media Molecule,SCE,224,9
Dead Space 2,"360, PS3",Visceral Games,EA,224,9
Bulletstorm,"360, PC, PS3",People Can Fly,EA,226,9
Total War: Shogun 2,PC,The Creative Assembly,Sega,226,9
SpaceChem,PC,Zachtronics Industries,Zachtronics Industries,226,9
